Time,Processed,InQueue,Rework
4,37,0,11
5,47,0,11
6,57,0,11
7,67,0,11
8,77,0,11
9,87,1,11
10,96,0,11
11,101,2,11
12,105,4,11
13,107,6,11
14,109,8,11
15,111,6,11
16,113,8,11
17,115,10,11
18,117,12,11
19,119,14,11
20,121,16,11
21,123,18,11
22,125,21,11
23,125,21,11
24,125,21,11
25,125,21,11
26,125,21,11
27,125,21,11
28,125,21,11
29,125,21,11
30,125,21,11
31,125,21,11
32,125,21,11
33,125,21,11
34,125,21,11
35,126,21,11
36,133,22,11
37,148,24,11
38,164,25,12
39,174,27,13
40,184,30,14
41,188,32,14
42,192,34,14
43,196,36,14
44,200,38,14
45,208,1,15
46,216,3,16
47,224,5,16
48,232,7,17
49,240,9,17
50,248,11,18
51,256,13,19
52,264,15,19
53,268,16,19
54,278,18,21
55,286,20,21
56,294,23,22
57,298,25,22
58,304,26,22
59,314,28,23
60,324,1,23
61,332,3,23
62,340,5,24
63,348,7,24
